!DatalogFileV1.0 1552360889
#
# User : atto           Start : 2019/03/12 12:21:29
# Recipe_Name : No_He_SiN_W072
# CURRENT_LOT_ID : 730
# PM_WAFER_STATUS_A : 5
# PM_WAFER_STATUS_B : 0
# ACC_WAFERCOUNT : 1
# ACC_THICKNESS : 0.000000
#
#----------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------
Time                      Recipe_Step_Number      S1_VAT_Pressure      S1_VAT_Position      S2_VAT_Pressure      S2_VAT_Position          S1_P0_PRESS          S1_P1_PRESS          S2_P0_PRESS          S2_P1_PRESS            S1_O2_Set           S1_O2_FLOW            S1_N2_Set           S1_N2_FLOW      S1_He_Set(TEOS)     S1_He_Flow(TEOS)          S1_TEOS_Set         S1_TEOS_FLOW     S1_N2_Set(Purge)    S1_N2_Flow(Purge)      S1_Ar_Set(Teos)     S1_Ar_Flow(Teos)            S2_O2_Set           S2_O2_FLOW            S2_N2_Set           S2_N2_FLOW      S2_He_Set(TEOS)     S2_He_Flow(TEOS)          S2_TEOS_Set         S2_TEOS_FLOW     S2_N2_Set(Purge)    S2_N2_Flow(Purge)      S2_Ar_Set(Teos)     S2_Ar_Flow(Teos)           S1_SH_TEMP       S1_HeLine_TEMP      S1_O2Line1_TEMP       S1_Block1_TEMP       S1_Block2_TEMP       S1_Block3_TEMP       S1_Block4_TEMP          S1_LQ1_TEMP     S1_O2Filter_TEMP          S1_SH_POWER      S1_HeLine_POWER     S1_O2Line1_POWER      S1_Block1_POWER      S1_Block2_POWER      S1_Block3_POWER      S1_Block4_POWER         S1_LQ1_POWER    S1_O2Filter_POWER           S2_SH_TEMP       S2_HeLine_TEMP      S2_O2Line1_TEMP       S2_Block1_TEMP       S2_Block2_TEMP       S2_Block3_TEMP       S2_Block4_TEMP       S2_Divert_TEMP          S2_LQ1_TEMP     S2_O2Filter_TEMP          S2_SH_POWER      S2_HeLine_POWER     S2_O2Line1_POWER      S2_Block1_POWER      S2_Block2_POWER      S2_Block3_POWER      S2_Block4_POWER      S2_Divert_POWER         S2_LQ1_POWER    S2_O2Filter_POWER      S1_Vapor_TEMP_1      S1_Vapor_TEMP_2      S1_Vapor_TEMP_3      S1_Vapor_TEMP_4        S1_Chuck_TEMP      S1_SH_Cool_TEMP     S1_Vapor_POWER_1     S1_Vapor_POWER_2     S1_Vapor_POWER_3     S1_Vapor_POWER_4       S1_Chuck_POWER     S1_SH_Cool_POWER      S2_Vapor_TEMP_1      S2_Vapor_TEMP_2      S2_Vapor_TEMP_3      S2_Vapor_TEMP_4        S2_Chuck_TEMP      S2_SH_Cool_TEMP     S2_Vapor_POWER_1     S2_Vapor_POWER_2     S2_Vapor_POWER_3     S2_Vapor_POWER_4       S2_Chuck_POWER     S2_SH_Cool_POWER        SH_Heat1_TEMP       SH_Heat1_POWER        SH_Heat2_TEMP       SH_Heat2_POWER
2019/03/12 12:21:30.805                    1                0.028                100.0                0.028                100.0              198.882              172.418              206.781              172.314                    0                   -1                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:30.914                    1                0.028                100.0                0.028                100.0              198.890              172.418              206.785              172.314                    0                   -1                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:31.008                    1                0.028                100.0                0.028                100.0              198.890              172.418              206.781              172.314                    0                   -1                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:31.117                    1                0.028                100.0                0.028                100.0              198.902              172.418              206.778              172.314                    0                   -1                    0                   -3                    0                   -1                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:31.211                    1                0.015                100.0                0.028                100.0              198.914              172.418              206.780              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:31.305                    1                0.015                100.0                0.015                100.0              198.914              172.418              206.779              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:31.414                    1                0.015                100.0                0.015                100.0              198.922              172.418              206.790              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:31.508                    1                0.015                100.0                0.015                100.0              198.938              172.418              206.796              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:31.617                    1                0.015                100.0                0.015                100.0              198.952              172.418              206.800              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/12 12:21:31.711                    1                0.015                100.0                0.015                100.0              198.968              172.418              206.804              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                    0                  163                  151                  202                  160                  165                  152                  160                  166                    0                    3                   71                   41                   35                    0                   19                   38                    0                 1000                  160                  160                  210                  160                  165                  163                  160                  160                  165                    0                   59                   60                   49                   38                    0                    0                   51                   47                    0                  180                  163                  208                  218                  541                 61.0                    1                    4                    8                   39                  100                    3                  200                  160                  184                 1000                  540                 59.8                   35                   55                   15                    0                  100                    3                  0.0                    0                  0.0                    0
