!DatalogFileV1.0 1552299475
#
# User : atto           Start : 2019/03/11 19:17:55
# Recipe_Name : No_He_SiN_W099
# CURRENT_LOT_ID : 184
# PM_WAFER_STATUS_A : 12
# PM_WAFER_STATUS_B : 0
# ACC_WAFERCOUNT : 1
# ACC_THICKNESS : 0.000000
#
#----------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------+--------------------
Time                      Recipe_Step_Number      S1_VAT_Pressure      S1_VAT_Position      S2_VAT_Pressure      S2_VAT_Position          S1_P0_PRESS          S1_P1_PRESS          S2_P0_PRESS          S2_P1_PRESS            S1_O2_Set           S1_O2_FLOW            S1_N2_Set           S1_N2_FLOW      S1_He_Set(TEOS)     S1_He_Flow(TEOS)          S1_TEOS_Set         S1_TEOS_FLOW     S1_N2_Set(Purge)    S1_N2_Flow(Purge)      S1_Ar_Set(Teos)     S1_Ar_Flow(Teos)            S2_O2_Set           S2_O2_FLOW            S2_N2_Set           S2_N2_FLOW      S2_He_Set(TEOS)     S2_He_Flow(TEOS)          S2_TEOS_Set         S2_TEOS_FLOW     S2_N2_Set(Purge)    S2_N2_Flow(Purge)      S2_Ar_Set(Teos)     S2_Ar_Flow(Teos)           S1_SH_TEMP       S1_HeLine_TEMP      S1_O2Line1_TEMP       S1_Block1_TEMP       S1_Block2_TEMP       S1_Block3_TEMP       S1_Block4_TEMP          S1_LQ1_TEMP     S1_O2Filter_TEMP          S1_SH_POWER      S1_HeLine_POWER     S1_O2Line1_POWER      S1_Block1_POWER      S1_Block2_POWER      S1_Block3_POWER      S1_Block4_POWER         S1_LQ1_POWER    S1_O2Filter_POWER           S2_SH_TEMP       S2_HeLine_TEMP      S2_O2Line1_TEMP       S2_Block1_TEMP       S2_Block2_TEMP       S2_Block3_TEMP       S2_Block4_TEMP       S2_Divert_TEMP          S2_LQ1_TEMP     S2_O2Filter_TEMP          S2_SH_POWER      S2_HeLine_POWER     S2_O2Line1_POWER      S2_Block1_POWER      S2_Block2_POWER      S2_Block3_POWER      S2_Block4_POWER      S2_Divert_POWER         S2_LQ1_POWER    S2_O2Filter_POWER      S1_Vapor_TEMP_1      S1_Vapor_TEMP_2      S1_Vapor_TEMP_3      S1_Vapor_TEMP_4        S1_Chuck_TEMP      S1_SH_Cool_TEMP     S1_Vapor_POWER_1     S1_Vapor_POWER_2     S1_Vapor_POWER_3     S1_Vapor_POWER_4       S1_Chuck_POWER     S1_SH_Cool_POWER      S2_Vapor_TEMP_1      S2_Vapor_TEMP_2      S2_Vapor_TEMP_3      S2_Vapor_TEMP_4        S2_Chuck_TEMP      S2_SH_Cool_TEMP     S2_Vapor_POWER_1     S2_Vapor_POWER_2     S2_Vapor_POWER_3     S2_Vapor_POWER_4       S2_Chuck_POWER     S2_SH_Cool_POWER        SH_Heat1_TEMP       SH_Heat1_POWER        SH_Heat2_TEMP       SH_Heat2_POWER
2019/03/11 19:17:56.430                    1                0.027                100.0                0.039                100.0              199.665              172.418              206.379              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  159                  166                  202                  160                  153                  169                  160                  154                    0                   47                   33                   39                   37                   99                   12                   34                  100                 1000                  160                  160                  210                  160                  165                  160                  160                  162                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  159                  211                  222                  541                 62.5                    0                   11                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:56.523                    1                0.027                100.0                0.039                100.0              199.665              172.418              206.379              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  159                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  160                  160                  162                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  159                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:56.633                    1                0.027                100.0                0.025                100.0              199.684              172.418              206.384              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -2                    0                    0                 1000                  159                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  162                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  159                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:56.726                    1                0.027                100.0                0.025                100.0              199.700              172.418              206.392              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  159                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  162                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  159                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:56.836                    1                0.027                100.0                0.025                100.0              199.706              172.418              206.396              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  159                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  161                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  159                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:56.930                    1                0.027                100.0                0.025                100.0              199.723              172.418              206.392              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  159                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  161                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  159                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:57.023                    1                0.014                100.0                0.025                100.0              199.742              172.418              206.395              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  159                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  161                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  159                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:57.133                    1                0.014                100.0                0.016                100.0              199.752              172.418              206.402              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  159                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  161                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  159                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:57.226                    1                0.014                100.0                0.016                100.0              199.758              172.418              206.397              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  158                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  161                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  158                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:57.336                    1                0.012                100.0                0.013                100.0              199.760              172.418              206.399              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  158                  166                  202                  160                  153                  169                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  161                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  158                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
2019/03/11 19:17:57.430                    1                0.012                100.0                0.013                100.0              199.765              172.418              206.399              172.314                    0                   -1                    0                   -3                    0                   -0                    0                  0.0                    0                    0                    0                    0                    0                   -1                    0                   -2                    0                   -1                    0                  0.0                    0                   -1                    0                    0                 1000                  158                  166                  202                  160                  153                  168                  160                  154                    0                   55                   33                   39                   37                   99                   11                   34                  100                 1000                  160                  160                  210                  160                  165                  161                  160                  161                  165                    0                   58                   61                   50                   39                    0                   84                   52                    3                    0                  180                  158                  211                  222                  541                 62.5                    0                   17                    0                    0                  100                    3                  200                  160                  182                 1000                  540                 61.5                   37                   41                   39                    0                  100                    3                  0.0                    0                  0.0                    0
